S/N,Question,Answer
1,"Parí òwe yìí
 ""gbàmí gbàmí kò yé àgbà ..........""",Ẹranko ń lé mi bọ̀ ò yẹ ọdẹ
2,"Parí òwe Yorùbá yìí
 ""A kì í n pa odù òyà lójú ọ̀tá ẹni ....""",Ọmọ ẹlẹ́bọ́rọ́ lásán lapa
3,"Kíni ìyàtọ̀ láàrin ""ìwọ̀ àti iwọ""?","ìwọ̀ - Nkan ti won fi n pa eja
 iwọ - Majele"
4,"Irúfé ìyàwó wo ni Yorùbá máa pè ní ""ìyàwó gbàmí oràmí""?",Ìyàwó tí a fẹ́ fún èrè ìwòsàn tàbí tí a fẹ́ láti ṣe àànú fun
5,"Ìlú wo ní ilẹ̀ Yorùbá ni wọ́n ti ń ṣe ọdún ""ìgogo""?",Ọ̀wọ̀ ní Ìpìnlẹ̀́ Oǹdó
7,"Kíni ọ̀rọ̀ Yorùbá fún ""lake""?",Adágún omi
8,"Ìgbó Òrà jẹ́ ìlú tí wọ́n ti ń bí ìbejì jùlọ ní gbogbo àgbáyé
 ""Kíni àkọlé orúkọ ọba ìlú Ìgbó Òrà?""",Olú
9,"Kíni ọ̀rọ̀ Yorùbá fún ""Flag""?",Àṣíá
10,"Irú Àwọn wo ni a máa n pè tàbí sọ ní ""málà olú""?",Àwọn Ọlọ́bàtálá
11,"Tí Yorùbá bá sọ pé a kìí rí ewú ní ọ̀sán, kíni ewú?",Òkété
12,"Parí òwe Yorùbá yìí
 Ọ̀lẹ̀ má mọ́wọ́ mi wọ̀gbẹ́",Òhun ló sọ ará oko di ewúrẹ́
13,"Parí òwe Yorùbá yìí
 ""Bí oko bá dùn n ro ní .....""",Alágbèdẹ ò ní roko tà
14,"Kíni Yorùbá n pè ní ""èkùró""?",Kòkòrò ẹ̀wà
15,"Màá fún ẹ ní ẹ̀gbàá kì í jẹ́ kí ẹ̀gbàá níyì, ẹ̀gbèrún, mélòó lọ wà ní ""ẹgbàfà""?",Mẹ́fà
16,"Kíni ìtumọ̀ òwe Yorùbá yìí ""ààlà ni yóò fi oko òlẹ hàn""?","Ààlà ló máa fi hàn pẹ́, ọ̀le ló ń ṣe iṣẹ́ oko yí"
17,"Tí Yorùbá bá sọ pé ènìyàn n ""run ìlèpa,"" kínì ìtumọ̀ àkànlò-èdè yìí?",Iyẹ̀pẹ̀ tó kẹ́hìn iyẹ̀pẹ̀
19,Irú ìyàwó wo ni Yorùbá ń pè ní ìyàwó àbètẹ́lẹ̀?,Ìyàwó tí a tọrọ láti kékeré
20,"Ewe kan wà tí àwọn ara ilẹ̀ ìlà oòrùn ń pè ní ""ugwu,"" kínì orúkọ tí Yorùbá ń pè é?",Ewé Ìròko
22,"Parí òwe Yorùbá yìí
 ""Gbogbo àkàsù kọ́ ló ń fojú kan ẹ̀fọ́ .....""","Gbogbo ọmọ olóyè kọ́ ló ń joyè, gbgobo ọmọ ọba kọ́ ló ń dádé"
23,"Ìgbà làákòkò, igi làákòkò yàtọ̀ sí ìlú. Kíni Yorùbá n pè ní àkòkò?",Ẹyẹ
25,"Kíni Yorùbá ń pè ní ""òkùdù""?
 ""Wọ́n ní òkùdù tó pa ẹṣin lè pa ènìyàn.""",Kòtò tí a ti patì
26,"Kíni ọ̀rọ̀ Yorùbá fún ""accused"" àti ""suspect""?","Accused - Afẹ̀sùnkàn
 Suspect – Afurasí"
28,"Kíni ""court of appeal"" ní Yorùbá?",Ilé-ẹjọ́ kòtémilọ́rùn
30,"Tí ""reason"" bá jẹ́ ìdí ní èdè Yorùbá, kíni ""purpose""?",Èrèdí
31,"Kíni Yorùbá ń pè ní ""calendar""?",Kọ́jọ́dá
32,"Ibo ni àwọn Yorùbá máa ń pè ní ""ìlofi""?",Ibi tí ọba máa ń wà kí wọ́n tó lọ sí ìpèbí
33,"Àlọ́ oooo
 Óún sàìjó, ó ń fúnú ta, óún fẹ̀yìn ta, óún fọwọ́ ta. Kíni oooo?",Aláǹtakùn
34,"Kíni Yorùbá n pè ní ""ìrèmòjé""?",Orin tí a máa fi ń dárò ọdẹ
36,"Parí òwe Yorùbá yìí:
 ""Bí ọwọ́ eku bá ṣe mọ́ ..........""",...ló ṣẹ fi ń họra
37,Kíni ìyàtọ̀ láàrin àáró àti àgàdàgídì?,"Àáró - Ìfọ́wọ́sowọ́pọ̀
 Àgàdàgídì - Ọtí tí a fi ọ̀gẹ̀dẹ̀ àgbagbà ṣe"
38,"Kíni Yorùbá ń pè ní ""ọ̀wẹ̀""?",Òkèlè
39,"Parí òwe yìí
 ""Òní òkété lẹ́yìn àrọ̀, ọ̀la òkété lẹ́yìn àrọ̀ .....""","...bí ojú ò bá ti àrò, ó yẹ kí ojú ó ti òkété"
40,Fi idi pa igba,"Ẹni tó jókòó síbẹ̀, tí ó kọ̀ látì lọ"
41,"Kíni Yorùbá n pè ní ""Adam Apple""?",Gògóńgò
42,"Kíni ""Baobab tree"" ní Yorùbá?",Igi oṣè
43,"""Ají má pa òùngbẹ́ bí ewé kíni????""",Erinrin
44,"Kíni ""Shin Guard"" ní Yorùbá?",Ojúgun
45,"Àlọ́ oooo
 A fèrìn gba òré wọlé, a fi túlásí tíí bọ̀ síta. Kíni oooo?",Oúnjẹ òun ìgbọ̀nsẹ̀
46,"Àwọn Yorùbá bọ̀ wón ní ebi ní ń pa mọnámọná kú, kíni mọnámọná? Àti pé kíni ìdí tí a fi máa ń sọ wípé ẹ̀bì á pa kú?",Ejò
47,"Kíni ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""Kọ̀wọ́ bọ ẹérú""?",Olè(Thief)
48,"Kíni ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""ìlérò"" tàbí ""wọlé ìlérò""?",Ibi tí ọba máa ń wà kí wón tó lọ sí ìpèbí
49,"Parí òwe Yorùbá yìí
 ""Òlè tó jí kákàkí ọba..........""",Ówá ku ibi tí yíò ti fọn
50,Kíni ìyàtọ̀ láàrin amòfin àti agbófinró?,"Amòfin - Ẹni tí ó mọ òfin (Lawyer, Judge)
 Agbófinró - Ọlọ́ọ̀pá"
51,"Kíni ọ̀rọ̀ Yorùbá fún ""fork""?",Àmúga
52,"Àwọn wo ni Yorùbá n pè ní ""alájápá""?",Oníṣòwò
54,"""Kíni àwọn Yorùbá n pè ní 'orún'?""",Igi ọfà
55,"Ṣàlàyé ọ̀rọ̀ Yorùbá yìí ""èrèfé.""",Ọ̀rọ̀ tí a sọ lórí ahọ́n lásán
56,"""Ewé wo ni Yorùbá n pè ní 'ojú oró'? Níbo lati ń rí?""",Orí omi
57,"""Kíni 'biased' ní Yorùbá?""",Òróǹro
58,"""Kíni ọ̀rọ̀ Yorùbá fún 'bile'?""",Ojúṣàájú
59,"""Dárúkọ ìwé ìròyìn tí ó kọ́kọ́ jáde ní èdè Yorùbá.""",Ìwé ìròyín fún àwọn Ẹ̀gbá àtí Yorùbá ní 1859
60,"Àrokò jẹ́ ọ̀nà tí a fi ránṣẹ́ sí ènìyàn míràn, tí ìtumọ̀ rẹ̀ jẹ́ àsírí láàrin ẹni tí o paá àti ẹni tí a fi ránṣẹ́ sí.
 Tí wọ́n bá fi ""eso igi"" ránṣẹ́ sí ènìyàn, kí ló túmọ̀ sí?",Ààrùn(Sickness)
61,"""Àwọn wo ni Yorùbá n pè ní 'agbékútà'?""",Ọmọ jàndùkú
62,"""Ìlú wo ní ilè Yorùbá ni wọ́n ti ń ṣe òdún 'ọlọ́jọ́'?""",Ilé-ifẹ̀
63,"""Kíni Yorùbá n pè ní Aditu.....""",Ọrọ tó ta kókó
64,"""Parí òwe yìí: Ebí ń pamí ọlọ́ṣẹ ń kiri ...""","Aó kọ́kọ́ fọ tinú, kí a tó fọ tòde"
65,"""Kíni àkọ́lé orúkọ ọba ìlú èdè?""",Tìmí
66,"""A sọ̀rọ̀ kéle b'ojú wo'gbé ...""","Ìgbẹ́ kìi rò, ẹni a bá wí fún ni ń ṣekú pa ni"
67,"""Parí òwe yìí: Aní kó mu wá, ó ní kòsí ...""",Ahun ni ẹni náà lójú alágbe
68,Who wrote the poem “Ìṣẹ́ lògún Ìṣẹ́” and in what year?,Bàbá D.F. Ọdúnjọ
69,Igba Iwase,Ayé Àtíjọ́
70,"""Kíni ọ̀rọ̀ Yorùbá fún 'Barber'?""",Onígbàjámọ̀/Gẹrígẹrí
71,"""Kíni ọ̀rọ̀ Yorùbá fún 'Brass'?""",Idẹ
72,"What is the yorùbá word for ""bait"" ?",Ìjẹ
73,Àkókò wo ni Yorùbá n pè ní Ìyálẹ́ta?,Ago mọ́kànlá àárọ̀ sí méjìlá ọ̀sán
74,"What is ""gizzard"" in Yorùbá ?",Iwe
75,"Kíni Yorùbá n pè ní ọjọjọ 
 kíní wọ́n fiì n ṣe?","Oúnje ilé Yorùbá, Iṣu ewùrà ni a fi ń ṣé"
76,"Nínú Eto ẹbí ní ilẹ̀ Yorùbá 
 kíní Yorùbá n pè 
 half siblings from the same father?",Obà kan
77,"Parí ọ̀wé yìí 
 Abánimúàdiyẹ a fi orókun bó, 
 bí owó bá ba Adiyẹ.....",a ó gbé adìye fún ẹni tó ní
78,"Parí ọ̀wé yìí 
 Tàkúté tí o pa l'áginjú a pé 
 lókò kí wọ́n to gbe wá sí ilé....",A pẹ́ lóko kí ó tó wá sílé
79,Iru ọmọ wo ni a n sọ ní òní?,Ọmọ tí kò sukún nígbà tí a bi
80,"Kini Yorùbá n pè ní ""àpọ́n""",Kóró inú èso òro
82,Oṣù wo ní oṣù òwàrà?,Oṣù kéwàá
83,"Kini ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""Oódẹ""?",Olófòófó
84,"Ooni Adeyeye Enitan Ogunwusi (Ọjájá II) ní Ooni ti Ife bayi 
 “kíni orúkọ ọba to jẹ kí wọ́n to jẹ”?",Aláyélúwa Ọba Okùnádé Ṣíjúwadé Olúbùṣe 2
85,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Farajìn""",Kí ènìyàn fi ara rẹ̀ sílẹ̀ fún nkan bóyá ẹsìn tàbí ìsìn
86,"Àrokò jẹ́ ọ̀nà tí a fi ránṣẹ́ sí ènìyàn míràn tí ìtumọ̀ rẹ̀ jẹ́ asiri láàrín ènìyàn tí o paá àti ènítí a fi ránṣẹ́ sí tí wọ́n bá fi ""owó eyo"" ránṣẹ́ sí ènìyàn Kí ló túmọ̀ sí?",Owó ń bọ̀
87,Ebí ń pa èjò ahun ń yan....,Àtahun àtejò ẹran jíje ni
88,"Yato si efon, kini Yoruba n pe mosquito",Yànmùyánmú
89,"Kíni iyatọ láàrin ""èsìn àti àṣà""?","Àṣà (Ìṣe)
 Ẹ̀sìn(Ọ̀nà láti bọ Elédùmarè)"
90,"Parí òwe yìí 
 Tí a kò bá rí owó rà ẹrù...",Aó sọ ẹran ẹni lórúko
91,"Kíni Yorùbá n pè ní ""Experience""?",Ìrírí
92,"Kíni Yorùbá n pè ní ""Bachelor""?",Àpọ̀n
95,"""Kíni ọ̀rọ̀ Yorùbá fún 'Corncob'?""",Fùkù
96,Kíni Àwọn yorùbá n pè ní òṣìbàtà?,Ewé orí omi
97,"Lò àwọn ọ̀rọ̀ márùn yìí nínú gbólóhùn kan 
 ""patú, panumó, pààrò, pámóra, pa ohun dà""","Arábìnrin náà patú, o sì panumọ́, ó pààrọ̀ aṣọ, ó pámọ́ra, kòsì pa ohùn dà"
98,Kíni ìyàtọ̀ láàrin jígí àti dígí?,"jígí(eye glass)
 dígí(mirror)"
99,"Kíni ìtumọ̀ àkànlò-èdè yìí ""Sòròṣágbòn""",Kí èyàn sòrò fún Olófòófó
100,"Kíni ọ̀rọ̀ Yorùbá fún ""circle""?",Òbìrìkìtí
101,"Àwọn wo ni Yorùbá n pè ní ""Ìwẹ̀fà""?",Àwọn tí wọ́n wà ní àgbàlá ọba tí wọ́n ń tọ́jú àwọn ayaba láyé àtijọ́
102,"Kíni Yorùbá n pè ní ""Ìdàndá?","Mirage
 Ohun tí a ń wó ní ọ̀ọ́kán, tí kìí ṣe òhun"
103,"Kíni Yorùbá n pè ní ""transmitter""?",Alátagbà
104,"Kíni Yorùbá n pè ní ""valley""?","Kíni Yorùbá n pè ní ""valley""?"
105,"Parí ọ̀wẹ Yorùbá yìí 
 ""àràkún láṣọ̀ Gbági ..........""",aṣọ làáwọ̀ lọ raṣọ
106,"Níbo ní ilẹ̀ Yorùbá ní ""igbó elẹ́dùmarè"" wà?",Ìpínlẹ̀ Oǹdó(Òkè Igbó)
107,"Kíní ìtumọ̀ ọ̀rọ̀ yorùbá yìí ""làìdẹ́ìnà pẹnu""?",Láì fi ọ̀pá pọ̀lọ̀pọlọ pejò (in a nutshell)
109,kíni ìyàtọ̀ láàárin Adélébò àti Abilékọ?,"Adélébọ̀: Obìrin tó ti lọ́kọ rí
Abíléko: Obìrin tó wà nílé ọkọ"
110,"Ọ̀rẹ́ ńjẹ́ ọ̀rẹ́, ọ̀rà ńjẹ́ ọ̀rà, 
 ẹnikan kìí dúpẹ́ lọ́wọ́ mọ ta ọ̀pọ̀ 
 Kí ni iyato to wa láàrín ọ̀rẹ́ àti ọ̀rà?","Ọrẹ(Ohun tí a fún ni ọ̀fẹ́)
 Ọrà(Ohun tí a fowó rà)"
111,"Parí òwe Yorùbá yìí, 
 Aṣòróójà bí ìjà ọjà, onítìjú òní sá.........",Ẹni tí wọ́n ń nà ò ní dáwó dúró
112,"Parí òwe yì: 
 Ebí ń pamí olóṣè ń kiri.....",Àwọn tí wọ́n ń ta iyanrì(sand)
113,A kii moogun moote...,Kí iṣu ewùrà má lémọ
114,"Kíni Yorùbá n pè ""Empowerment""?",Ìrónilágbára
115,"Kíni ""Misconception"" ni Yorùbá?",Àṣìrò
116,"Kíni ""Creative"" ni Yorùbá?",Àtínúdá
117,"Kíni ""Appreciation"" ni Yorùbá?",Ìmọ-ore
118,"Kíní yoruba n pè ní ""àkànnàmàgbò""?",Ewéko
119,"Kíní Yorùbá ọ̀rọ̀ yìí ""cheese""?",Wàràkàsí
120,"Parí òwe yìí 
 ""Tí ojú bá pón àgàn.......""",Ó lè dá àbá àbíkú
121,"Kíní Yorùbá ọ̀rọ̀ yìí """"baboon""""?",Ìlábùrù
122,"Parí òwe Yorùbá yìí 
 ""Ohun tí n wuni ni n pò lórò eni..........""","Ológún ẹrú kú, aṣọ ẹ̀ jẹ́ ìkan"
123,Irú Ìyàwó wo ni Yorùbá ń pè ní Ìyàwó àbètélẹ,Ìyàwó tí a tọrọ ní áti kékeré
124,"Kíni Yorùbá n pè ""Egòn""?",Igbó kìjikìji
125,"Parí òwe Yorùbá yìí 
 ""Ìyà méjì kìí jẹ òkóbó""","tí ò bá lókó, á lóko(farm)"
126,"Àwọn wo ni Yorùbá n pè ní ""arota""",Ẹrú
127,"Kíni Yorùbá n pè ní ""Ìkìsà"" ?",Àgbọ̀nrín
128,"Kíni Yorùbá n pè ní ""àrándùn""?",Àsodùn
129,"Kíni Yorùbá n pè ní ""Kokonboju""?",Ilà kíkọ tí a kò lè fi dá ènìyàn mò
131,"Níbo ní ilẹ̀ yorùbá ní ""adágún odò orí àpáta"" wà?",Àdó-Àwàyè
132,"Kí ni Yorùbá n pe ""Flask""?",Ṣágó
134,"Àwọn wo ni Yorùbá n pè ní ""alákàtànpọ̀""",Àwọn tafàtafà
135,"Kíni ọ̀rọ̀ Yorùbá fún ""Spinster""?",Omidan
136,"Tí Yorùbá bá pe obìnrin ní ""ajáìdí apèrè"" kí ló túmọ̀ sí?",Obìnrin tó ń ṣèṣekúṣe
137,Kíni ọ̀rọ̀ Yorùbá fún 'Savannah'?,Ọ̀dàn
138,"Kíni Yorùbá n pè ní ""òkùdù""
 ""wón ní òkùdù tó pa ẹṣin lè pa ènìyàn""",Kòtò àgbẹ́kù
139,"Parí òwe Yorùbá yìí 
 ""àgbà tí ó bá fi arúgbó ara kọ ìlú""",Ọ̀mẹ́lẹ́ ni wọ́n máa ń sán kú
140,"Kíní òrò Yorùbá fún ""Camwood""?",Osùn
141,"Kíni Yorùbá n pè ní ""èkùró""?",Kòkòrò ẹ̀wà
142,"Kíní ìtumọ̀ ọ̀rọ̀ Yorùbá yìí ""Láì Déèna pẹnu""?",Láì fi òpá pọ̀lọ̀pọlọ pejò (in a nutshell)
143,"Yorùbá máa ń pa èdè kan wípé agbe ní n gbé ire pàdé olókun, kínì ""agbe""?",Ẹyẹ
145,"Kíní orúkọ míràn tí Yorùbá n pe ""kókó inú ìyán""?",Emọ
146,"Ọmọ aládìye ògògòmògà, ìlú wo ni wọ́n ma n kí oríkì wọn bẹ́ẹ̀?",Ìjèbú
147,"Àwọn wo ni Yorùbá n pè ní ""aláàgbédá""?",Oníjìbìtì
148,"Kini Yorùbá n pè ní ""Aga""?dodo",Caution sign
149,"Àlò oooo
 'Ìyá rúgúdú pọ̀nmi sínú, ó wọ̀ ẹ̀wù irin'
 kíni oooo??",Èkùrọ́
150,"Kini Yorùbá n pè ní ""Akéte""?",Ibùsùn
151,Kíni ṣe èyọ̀ túnmọ̀ sí ní èdè Yorùbá?,Kí èyàn lọ tọ̀
152,Kíni 'law enforcer' ní Yorùbá,Agbófinró
153,"Kini òrò Yorùbá yìí túnmọ̀ sí ""Alàdìí fonórù""?",Ilé ti to lo (time to go home)
154,Kíni à ń pè ní 'àmù' ní ilé Yorùbá?,Ikoko ti won maa n bu omi si
155,Ṣàlàyé ọ̀rọ̀ yìí 'ìsákọ̀lè',Owó tàbí ẹ̀bùn tí ènìyàn máa n fún ní bíi ọ̀pẹ̀
156,"Parí òwe yìí
 Ẹni tí ń walẹ̀ ní ń sínkú....","Ẹni ń súkùn, ariwo lasan ni ń pa."
157,"Kini itumo oro yoruba yii
 Omi gbigbona kìí jólé","Kòsí bíi nkan bà ṣe lè tó, ó ń bò wá dérò."
158,"Parí òwe Yorùbá yìí ""Ọhun tí ń wuni ni n pò lóro ènìyàn","Ológun ẹrú kú, aṣọ è jẹ́ ìkan"
159,"Kíni ìyàtọ̀ láàrin ""ìlábùrù àti abilà""?","Ìlábùrú - Baboon
Àbìlà  - Zebra "
160,"Tí 'fast' ba jẹ́ yàrà
 Kíni ọ̀rọ̀ Yorùbá fún 'slow'?",Yíyọ́ (yọ́)
161,"Lo àwọn ọ̀rọ̀ márùn ún yi nínu gbólóhùn kan
 “dárayá, faraya, kíyèésárà, fáramó, fáramó”","Mo lọ sí eré ìdaŕayá kan, níbití ẹni tó gbàwá lálejò ti faraya, nítorí kò kíyèsara tí ohun tó ṣelè sì ṣeé faramọ́"
