S/N,Question,Answer
328,"Kíni ""pot"" ní Yorùbá?",Ìkòkò ìdáná
329,"Kíni ""fox"" ní Yorùbá?",Kọ̀lọ̀kọ̀lọ̀(Ajá igbo)
330,"Kíni ""sheep"" ní Yorùbá?",Àgùntàn
331,"Kíni ""House of representatives"" ní Yorùbá?",Ilé ìgbìmọ aṣójúṣòfin
333,"Sàlàyé òwe yì: 
 Ènì rúbọ òrìṣà á gbọ́dọ̀ rú ti èèyàn kí ẹbọ ó tó gbà",Irú ẹni bẹ́ẹ̀ gbúdọ̀ tẹ́ àwọn ènìyàn ní àyíká rẹ̀ lọ́rùn
334,"Parí òwe yìí:
 'Àjọ kìí dùn...'",Kódídẹ́ má rèwò
335,"Parí òwe yìí:
 Ènì tí yóò mu ẹkọ́ fòró..",
336,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Feraku""?",Lóyún
337,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Terigbaso""?",Ṣe aláìsí
338,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fakoyo""?",Ṣe dáradára
339,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi oju oloore gungi""?",Aláìmoore
340,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi imu danrin""?",Fìyà jẹ ènìyàn
341,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbonu""?",Jẹ iyàn(argue)
342,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Runparunse""?",Fi gbogbo agbára ṣe ǹkan
343,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Pa eniyan bi ejo aije""?",Lu ènìyàn ní ìlùkulù
344,"Kíni ""field"" ní Yorùbá?",Pápá
345,"Kíni ""Giraffe"" ní Yorùbá?",Àgùnfọn
346,"Kíni ""Permanent voter's card"" ní Yorùbá?",Ìwé ìdìbò alálòpẹ́
347,"Sàlàyé òwe yì: 
 Àjèsílẹ̀ gbèsè tí ò jẹ́ kí ẹ̀gbẹ̀fà tóó ná.","Tí ènìyàn báti jẹ gbèsè sílẹ̀, owó tí ẹni náà bá rí kò ní too ná títí dìgbà tó bá ti san gbèsè rẹ̀ tán"
348,"Parí òwe yìí:
 Èbìtì kò pa èèrà...",
349,Tí wọ́n bá sọ pé èèyàn wà 'bias' kí ló túmò sí?,Ojú-ìsájú
350,Oṣù wo ni à ń pè ní 'Bèlú'?,Oṣù kọ́kọ̀nlá
351,Kí ni orúkọ tí a ń fún ọmọbìnrin tí a bí tí ó gbé òlùbí kòrùn?,Àìná
352,Fi àmín sí orọ̀ yìí “Akanlo ede”,Àkànlò èdè
353,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Figagbaga""?",Ìdíje
354,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Erinwo""?",Ṣe aláìsí
355,"Kíni ""Advertisement"" ní Yorùbá?",Ìpolówó
356,Why do they say 'dágunrò' is inedible'?,Dágunró ní ègún
357,Orúkọ wo ni wọ́n fún ọmọ tí a bí tí kò ke?,Òní
358,"If potters are called 'amọ̀kòkò, calabash designers are called what?",Afíngbá
359,"Deji ni oba ilu akure, kini won n pe, oba ilu ijebu",Àwùjalẹ̀
360,"Kíni ""Duplicate"" ní Yorùbá?",Ẹ̀dà
361,"Kíni ""Earth worm"" ní Yorùbá?",Ekòló
362,"Kíni ""Scissors"" ní Yorùbá?",àlùmógàjì
363,"Kíni ""Brewery"" ní Yorùbá?",Ilé-iṣẹ́ ìpo-ọtí
364,"Kíni ""Cricket"" ní Yorùbá?",Ìrẹ̀
365,"Kíni ""Ram"" ní Yorùbá?",Àgbò
366,"""Parí òwe yìí:
 Èbì tí kò pa èèrà""","Èbìtì ò pa èèrà, ará ilé ẹni níí ṣe ni"
367,"Kini itumo owe yi:
 Ènì tó ma ń tẹ òkú òpòló, yí ò ní ilé Ogbóni tirẹ̀ lọ́tọ̀",
368,"""Parí òwe yìí:
 Eni ti ko mo ise je...",
369,"""Parí òwe yìí:
 Sekeseke dara...",Ṣùgbón alágbẹ̀dẹ ò rọ́ fún ọmọ rẹ̀
370,Awon wo ni won maa n pe ni Ajayi,Ọmọ tí a bí tó dojúbolẹ̀
372,"Kíni ""Buffalo"" ní Yorùbá?",Efọ̀n
373,"Kíni ""Scorpion"" ní Yorùbá?",àkekèé
374,"Kíni ""Bracelet"" ní Yorùbá?",Ẹ̀gbà-owo
375,"Kíni ""Description"" ní Yorùbá?",Àpèjúwe
376,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""gbin èpà sí oko ikún""?",Ṣíṣe àṣedànù
378,"""Parí òwe yìí:
 Ore n jore...","Ọrà ń jọ́rà, a kìí dúpé mo tọ̀pọ̀"
379,"""Kini itumo owe yi:
 A kii je okele lori okele, a kii fina sori orule sun""","Kí ènìyàn ṣe ohungbogbo ní ìwọ̀ntúnwọ̀nsì, nítorí tí a kò bá ṣe béè, ó lè fa ìjàm̀bá"
381,"Kíni ""66 thousand naira"" ní Yorùbá?",Ẹgbẹ̀rùn lọ́nà mérìndínláàdórin náírà
382,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""farasoko""?",Sápamó
383,"Parí òwe yìí.
 Ènì yá ẹ̀gbẹ̀fà tí ò san",Ó bégi dínà egbèje
384,"Kíni ""Wolf"" ní Yorùbá?",Ìkokò
385,"Kíni ""Investment"" ní Yorùbá?",Ìdókòwò
386,"Kíni ""Trade fair"" ní Yorùbá?",Ìpàtẹ Ìdókòwò
387,"Kíni ""Calculator"" ní Yorùbá?",Ẹ̀rọ ìṣírò
388,"Kíni ""Internet banking"" ní Yorùbá?",Ìfowópamọ́ orí ayélujára
389,"Kíni ""Rainbow"" ní Yorùbá?",Òṣùmàrè
390,"Pari owe yi:
 Bí oníṣé bá ń jèrè iṣẹ..",Ọ̀lẹ á máa jèrè ìmẹ́lẹ́
391,"Kíni ""Blade"" ní Yorùbá?",Abẹfẹ́lẹ́
392,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eku Itadi""?",Kí ènìyàn só
393,"Kíni ""Royal Bead Makers"" ní Yorùbá?",Asíndẹmádé
394,"Kíni ""Graduation"" ní Yorùbá?",Ikékòógboyè
395,"Kíni ""Chimpanzee"" ní Yorùbá?",Ìjímèrè
396,"Kíni ""500 thousand"" ní Yorùbá?",Ẹgbẹ̀rún lọ́nà ẹ̀ẹ́dẹ́gbẹ̀ta
397,"Kíni ""Camping"" ní Yorùbá?",Ìpàgọ́
398,"Kíni ""Bargain"" ní Yorùbá?",Ìdúnádúrà
399,"Kíni ""Translator"" ní Yorùbá?",Ògbufọ̀
400,"Kíni ""Trap"" ní Yorùbá?",Èbìtì
401,"Kíni ""700"" ní Yorùbá?",Ẹ̀ẹ́dẹ́gbẹ̀rin
402,"Kínì ìtumọ̀ àkànlò-èdè yìí? 
 A ń sájú ẹlẹẹdẹdé pẹẹdé",A máa fí ń sọfún ènìyàn tí ó ń bẹ́
403,Dárúkọ tí Yorùbá n pe àwọn ìka ọwọ wa márààrún,"Kúrúmbète, òrùka yémí, óga juwónlọ, odùnńlábẹ̀, àtànpàkò."
404,"Parí òwe Yorùbá yìí
 Sin mí ká re ilé àna o wọ ẹwù etù …,",kíni kí ọkọ ìyàwó wọ̀
405,"Kíni ""deer"" ní Yorùbá?",Àgbọ̀nrín
406,"Kíni ""fountain"" ní Yorùbá?",Orísun
407,"Kíni ""fine"" ní Yorùbá?",Owó ìtánràn
408,"Eré Orí igi àşekù ọmọ ẹdun, kíní yorùbá n pè ní 'ẹdun'?",Ọ̀bọ
409,"Yorùbá bò wọ́n ní… Pánsá ò funra pánsá já, àjà ò funra àjà jìn… kí ní pánsá?","Pánsá (attics)
 Bí onílé ò bá funra, olè á ko"
410,Ka eje orile-ede Naijiria ni ede Yoruba,"Mo ṣe ìlérí fún Orílẹ̀-Èdè mi Nàìjíríà, 
 Láti jẹ́ olódòdo, ẹnití ó ṣeé f'okàn tán 
 Àti olótitọ́ ènìyàn 
 Láti sìn ín pẹ̀lu gbogbo agbára mi, 
 Làti sa ipá mi gbogbo fún ìṣọ̀kan rẹ̀ 
 Àti láti gbé e ga fún iyì àti ògo rẹ̀. 
 Kí Ọlọ́run ràn mí l'ọ́wọ́"
411,"Kíni ""93"" ní Yorùbá?",Mẹ́tàléláàdọ́rún
412,Kíni Yorùbá n pe border?,Àlà
413,"Kíni ""favorite"" ní Yorùbá?",Ààyò
414,"""Pari owe yi:
 Ohun tí ajá rí tí ó ń gbó…""",kò tó èyí tí àgùtàn fi ń ṣe ìran wò
415,"Parí òwe Yorùbá yìí
 ògèdè dúdú kò sè bùṣọn…",Ọmọ burúkú ò ṣe lù pa
416,"Parí òwe Yorùbá yìí
 Enu ai menu, ete ai mete...",níí mú ọ̀ràn bá ẹ̀rẹ̀kẹ́
417,"Kini ọ̀rọ̀ Yorùbá fun ""Comb"" tí ó wà lórí akùkọ adìyẹ",Igbe
418,"Kíni ""Certificate"" ní Yorùbá?",Ìwé ẹ̀rí
419,"Kíni ""web"" ní Yorùbá?",Ìtàkùn
420,Yàtọ̀ sí ayékòótò kíni Yorùbá tún má ń pe 'parrot'?,Odídẹrẹ́
421,"Kíni ""ditch"" ní Yorùbá?",Kòtò
422,Tani ọba àkọ́kọ́ tí a kọ́kọ́ kì ní kábíyèsí ní ilè Yorùbá,Aláàfin Sàngó
423,Àwọn wo ni Yorùbá ń pè ní 'màjẹsín,Àwọn ọmọdé
424,"Kíni ""South-West"" ní Yorùbá?",Gúúsù-Ìwọ-oòrùn
425,Kíni Yorùbá ń pe 'flamingo'?,Ẹyẹ-omi
426,Kíni Yorùbá ń pe 'squat'?,Lóòṣó
427,"Parí òwe Yorùbá yìí
 Ajogún Ifá tó ní òun kò ní kú mọ …",Ẹni tó tefá gan dàà
428,"Kíni ""North"" ní Yorùbá?",Àríwá
429,Tí Yorùbá bání ẹ̀ẹ̀yàn 'pẹ̀ ọ̀rọ̀ sọ'. Kí ló tún mò sí?,Kòfẹ́ fi gbogbo ẹnu sọ̀rọ̀
430,"Kíni ""Education Manager"" ní Yorùbá?",Ìṣàkóso Ẹ̀kọ́
431,"Kíni ""Guinea worm"" ní Yorùbá?",Sòbìà
̀432,Àwọn wo ni Yorùbá ń pè ní 'ọjẹ',Eléégún
433,"Parí òwe Yorùbá yìí
 Òṣùpá là a ní kò gún...","Ẹni tọ́wọ́ ẹ̀ bá to, kó lo tun ṣe"
434,Ìlú wo ni wón ti ń bí 'Ìbejì' jùlọ ní ilè Yorùbá,Igbó-ọrà
435,"Kíni ""Relationship"" ní Yorùbá?",Ìbáṣepọ̀
436,"Kíni ""Pretence"" ní Yorùbá?",Ìdíbọ́n
437,"""Kínì ìtumọ̀ àkànlò-èdè yìí? 
 Te nkan nidi""",Lílo ọgbọ́n àlùmọ̀kọ́rọ́yí láti fi kó ọrọ̀ jọ
438,"""Kíni àkọ́lé orúkọ ọba Ijesha?""",Ọwá
439,"Parí òwe Yorùbá yìí
 Àjánàkú kọjáa mo rí nkan firí",Tí a bá rérin ká sọpé a rérin
440,"Kíni ""Debate"" ní Yorùbá?",Ìtàkùọ̀rọ̀so
441,Kíni ìyàtọ̀ láàrin ìtòsí ati ìjọsí?,"Ìtòsí -–Súnmọ́
 Ìjọ́sí -–Jìnà"
442,Kíni ìyàtọ̀ láàárín ìpààrọ̀ àti ìyípadà?,"Ìpààrọ̀ - Replace
 Yípadà - Change"
443,"Kíni ""Protest"" ní Yorùbá?",Ìfẹ́ónúhàn
444,"Kíni ""National Assembly"" ní Yorùbá?",Ìgbìmọ̀ aṣòfin àgbà
445,"Kíni ""Canopy"" ní Yorùbá?",Àtíbàbà
446,Àwọn ọmọ wo ni Yorùbá ń pè ní 'Kòsọkọ' àti pé kíni ìdí tí a fi ń pè wọn bẹ?,"Àbíkú ọmọ ni wọ́n ń pè ní Kòsọ́kọ́
 A máa ń pe wọ́n bẹ́ẹ̀ nítorípé ọkọ́ ni a máa fi ń wa ilẹ̀ látìi fi sin òkú"
447,Tí Yorùbá bá sọpé Igi imú jìná sórí... kíni wọn ń gbìyànjú láti sọ pẹ̀lú àpẹrẹ,Kí ènìyàn kan ju ẹnìkéjì lọ
448,"Kíni Yorùbá ń pè ní mọ̀gúdú?""",Ìkokò tó tóbi (A big wolf)
449,"Parí òwe Yorùbá yìí ""bí èbù ò rà...""",A ò lè rí ègbodò
450,"Parí òwe Yorùbá yìí
 Bí abá sọrọ tán ẹrín làá rín...","bí a bá yó tán, orun níí kun ni"
451,"Yàtọ sí ádùrá kíni Yorùbá n
 pè ádùrá àti àmín""?","Àdúrà -–Ìwúre
 Àmín -–Àṣẹ"
452,"Kíni ""North-East"" ní Yorùbá?",Àrìwá-Ìlà-oòrùn
453,Kíni àkólé orúkọ ọba ìlú Ijebu-Igbo?,Orímolúsì
454,"Kíni ""Train station"" ní Yorùbá?",Ibùdó ọkọ̀ ojú irin
455,"Kíni ""Barn"" ní Yorùbá?",Aká
456,Ìlú wo ni ile yorùbá ni wón ti sę odún ojude oba,Ìjẹ̀bú-òde
457,"Kíni ""Genuine"" ní Yorùbá?",Ojúlówó
458,Kíni Yorùbá n pè “Àrokò”,Ọ̀nà tí a fi ń bára wa sọ̀rọ̀ tí a kòsì fẹ́ kí ó yé ẹnikẹta
459,"Kíni ""Wood Pecker"" ní Yorùbá?",ẹyẹ akoko
460,"Kíni ""Brag"" ní Yorùbá?",Fọ́nnu
461,Parí òwe yìí: A fàtelewo fanná,kìí dáwó dúró
462,"Kíni ""Teak tree"" ní Yorùbá?",Igi Ìrókò
463,Kini èjè rùn kanra túmò si?,A máa ń lòó ọ̀rọ̀ yí bí a bá ṣe pàdé ará ilé ẹni láìròtẹ́lẹ̀
464,"Kíni ""Desolate"" ní Yorùbá?",Ahóró
465,"Kíni ""Sparrow"" ní Yorùbá?",alápàándèdè
466,Kíni iyato láàárín ẹgbẹ̀ta àti ẹgbàta?,"ẹgbẹ̀ta - 600 
 ẹgbàta - 6000"
467,"Parí òwe yìí...
 Akìí gbé ẹran erin lóri...?",Kí a máa fi ẹsẹ̀ wa ihò ìrẹ̀(cricket)
468,Irú ọmọ wo ni wón ń pè ní Ìdògbé?,Ọmọ tí a bí lẹ́hìn Àlàbá
469,"Kíni ""Creeper"" ní Yorùbá?",Àfòmọ́
470,"Kíni àwon orọ wọnyí ""belching or burping"" tun mò sí ní Yorùbá",Gùnfẹ̀
471,"Àwọn wo ni wón ma n ""sun ijálá""",Àwọn ọlọ́de
472,"Kíni ""Hiccups"" ní Yorùbá?",Òsúkè
473,"Kíni ""Cobweb"" ní Yorùbá?",Ówú alántakùn
474,"Kíni ọrọ yí túmosí ""takété""",Kí ènìyàn dúró sí ọ̀nà tó jìn
475,"Kíni ""Striike"" ní Yorùbá?",ìyanşélódì
476,Kíni màjàlà tún mọ sí ?,Oun tí ó máa ń bá iná jíjó lọ sókè (burnt flakes)
477,"Kíni ""width"" ní Yorùbá?",ìbú
478,"Kíni Yorùbá ""height"" àti ""length""?",Gíga àti Gígùn
479,"Tani ó kọ ìwé yìí ""ogboju odẹ nínú igbó irúnmolè""?",Daniel Ọlọ́runfẹ́mi Fágúnwà
480,"Kíni ""Wood Carver"" ní Yorùbá?",Agbẹ́gilére
481,"Kíni ""Bone Marrow"" ní Yorùbá?",Mùdùnmúdùn
482,Parí òwe yìí: ajá kìí rorò títí,Kí ó ṣọ́ ojúlé méjì papọ̀
483,"Yato sí pàsán, àtòrì àti ẹgba kí tún ní orúkọ tí Yorùbá n pè ""cane""?",Ọrẹ́
484,"Parí òwe yìí: ẹgbẹrin òtẹ,...",..bí a ṣe ń pakan nìkán rúwẹ́
485,"Kíni ""Launching"" ní Yorùbá?",Ìfilọ́lẹ̀
486,Àwọn agbá bò wọ́n ní 'adìyẹ ìrànà kì í ṣe òun ajẹgbẹ' ...kíni Adìyẹ ìrànà?,Adìyẹ tí à ń pa fún òkú
487,Ṣe àtúnṣe àti àtúnpà òwe Yorùbá yìí 'oyè tó kan ará ìwó ń bọ́ wá kan ará ẹ̀dẹ',Oyè tó kan ará Aho ń bọ́ wá kan ará ẹ̀dẹ
488,Àwọn wo ni Yorùbá ḿ pè ní 'òrùn ẹní' àti pé kíni ìdí tí wọ́n fi ń pè wọ́n bẹ?,Òbí ẹni
489,Kíni ìtumọ̀ òwe yìí 'alágbára má mọ èrò baba ọ̀lẹ?',Ẹnití ó bá pe ara rẹ̀ ní alágbára gbúdò máa ṣe ìwáàdí láti mọ èrò nígbogbo ìgbà
490,Parí òwe yìí: Ẹni tí ẹgún bá gúnlẹ̀sẹ̀?,Ni ń sá làkàlàkà relé alábẹ
491,Parí òwe yìí: Sàn-án lààrín...,...ajé ní múni pẹ́ kọ̀rọ̀
492,"Parí òwe Yorùbá yìí:
 'Ẹ gún ẹṣin ní kẹṣẹ, ẹ lọ ńtàpá' ...............?","Ẹgún ẹṣin ní kẹṣẹ ẹ ní ó ń tàpá, baba ta ló ma ti rin bọ̀ láyà tí ò ní tākítì"
493,"Fi ọ̀rọ̀ tó bá yé sí àlàfo yìí
 'Ọ̀pọ̀ igi ní bẹ̀ nìgbó ká tó fi .... gbẹ́ gbẹ̀du?",igi ọ̀mọ̀
494,Kíni Yorùbá n pè ní àpáádì?,àfọ́kù ìkòkò
495,Irú ọbẹ wo ni Yorùbá n pè ní ọbẹ àtẹ?,Ọbè tí a kò fi iyọ̀ sí
496,"Parí òwe Yorùbá yìí
 'À pa àímú délé......?",Ni ò jẹ́ kamọ̀ pé ológbò ń ṣe ọdẹ
497,"Parí òwe yìí:
 'Àtìrà ibọn kò tó àtìrà ẹtù.......?'","Nítorí ojókan làá ra ìbọn, ojoójúmọ́ làá ra ẹ̀tù"
498,"Kíni ""Red river hog"" ní Yorùbá?",Túùpú
499,"Kíni ""personification"" ní Yorùbá?",Ìfohunpènìyàn
500,"Kíni ""gourd"" ní Yorùbá?",àdó
501,"Kíni ""Animal Shell"" ní Yorùbá?",Ìkarahun
502,"Kíni ""Nettle rash"" ní Yorùbá?",Inárun
503,"Nínú ayò (ọpọ́n)
 ihò mééló ní ó wà nínú àpótí ayò ọpọ́n.....?",Méjìlá(12)
504,"Kíni ""Lightning"" ní Yorùbá?",Mọ̀nàmọ́ná