S/N,Question,Answer,,option_1,option_2,option_3,option_4,option_5
237,"Kíni ""Law Enforcer"" ní Yorùbá?",Agbófinró,,Agbófinró,Olùgbéjà Òfin,Agbẹ́jọ́ Òfin,Akọ́nilẹ́kọ̀ọ́ Òfin,Olùtọ́jú Òfin
238,Kíni ìtúmọ̀ Balógun?,Baba lójú ogun -–Olórí ogun,,Alágbára,Ológun,Akọ́ni,Baba lójú ogun -–Olórí ogun,Oníjà
239,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Bode pade""",Rírí tajé ṣe,,Gbígba ìdánilẹ́kọ̀ọ́ láti ọ̀dọ̀ ẹnìkan,Ṣíṣe àdéhùn pẹ̀lú ènìyàn,Rírí tajé ṣe,Jíjẹun pẹ̀lú ènìyàn,Ṣíṣe ìbẹ̀wò sí ilé ẹnìkan
240,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ponmi si ajadi apere""",Ṣíṣe àṣedànù,,Gbẹ́ igi sí àpótí aláṣọ,Ṣíṣe àṣedànù,ọ́ oògùn sí ìgò òkúta,Dá oúnjẹ sí àpótí ẹja,Gbé òkúta sí àpótí aṣọ
241,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi enu ko""",Ṣíṣi ọ̀rọ̀ sọ,,Ṣíṣi ọ̀rọ̀ sọ,Fi ẹnu rẹ ṣọ̀,Fi ẹnu rẹ gbà,Fi ẹnu rẹ sọ̀,Fi ẹnu rẹ jó
242,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fimu finle""",Ṣíṣe ọfíntótó,,Ṣíṣe ìdánilẹ́kùn,Ṣíṣe ìpalẹ̀mọ́,Ṣíṣe ìyàsọ́tọ̀,Ṣíṣe ọfíntótó,Ṣíṣe ìdàrúdàpọ̀
243,"Kíni ""Procastination"" ní Yorùbá?",Fènídọ́la,,ìgbàgbé,ìdálọ́wọ́dúró,Fènídọ́la,ìyàsọ́tọ̀,ìdúró ṣinṣin
244,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Juba ehoro""",Sálọ,,Sálọ,Gbígbé ìgbésẹ̀ aláìlérè,Wíwá ohun tí kò ṣeé rí,Ṣíṣe iṣẹ́ lásán,Lílò àkókò ní asán
245,"Kíni ""Eleven thousand"" ní Yorùbá?",Ẹgbẹ̀rún Mọ́kànlá,,Ẹgbẹ̀rún Mẹ́wàá,Ẹgbẹ̀rún Mọ́kànlá,Ẹgbẹ̀rún Méjìlá,Ẹgbẹ̀rún Mẹ́rìnlá,Ẹgbẹ̀rún Mẹ́rìndínlógún
246,"Parí òwe yìí: Àfọ̀mọ́ ńṣe ara è,...",Óní òhun ń ṣe igi,,kí ó tó di àrùn,kí ó tó di ìjà,kí ó tó di ìpalára,Óní òhun ń ṣe igi,kí ó tó di ìyà
247,"Sàlàyé òwe yì: 
 A ń gba ọ̀ròmọ adìyẹ lọ́wọ́ ikú, òní wọn ò jẹ́ kí ohùn re àkìtán lọ jẹ.",Ọmọdé ò mọ̀ pé àgbàlagbà ń gba òhun lọ́wọ́ ohun tí ó lè pa òhun lára,,Ọmọdé ò mọ̀ pé àgbàlagbà ń gba òhun lọ́wọ́ ohun tí ó lè pa òhun lára,"A ń gba ewúré lọ́wó́ igbó, òní wọn ò jẹ́ kí ohùn re ọjà lọ jẹ.","A ń gba òkúta lọ́wọ́ ilẹ̀, òní wọn ò jẹ́ kí ohùn re àgbàlá lọ jẹ.",Àgbàlagbà ń sọ fún ọ̀dọ́ pé àwọn ń dá òhun dúró níbi tí òhun fé lò,Ọ̀rẹ́ ń sọ fún ọ̀rẹ́ pé àwọn ń gbàá lọ́wọ́ ìṣòrò
248,"Sàlàyé òwe yì: 
 Afẹ́fẹ́ ńda ológi láámu; oníyẹ̀fun má ja’fira","Bí afẹ́fẹ́ bá lè da ògì sọnù, oníyẹ̀fun nílò látìi múra gidigidi",,"Ẹ̀yẹ́ ńkọrin nínú igi, oníṣẹ́ irin má ṣe ìkùnsínú","Àgbẹ̀ ńṣe iṣẹ́ ilẹ̀, oníṣẹ́ ọjà má ṣe ìjà","Òjò ńrọ̀ lórí òkè, oníṣẹ́ aṣọ má ṣe ìbẹ̀rù","Bí afẹ́fẹ́ bá lè da ògì sọnù, oníyẹ̀fun nílò látìi múra gidigidi","Omi ńṣàn nínú odò, oníṣẹ́ àwòrán má ṣe ìwọ̀sí"
249,Parí òwe yìí: 'A fasẹ̀ gbèjò ...,Ó ń tan ara rè je,,ó di àṣẹ́,ó di ìbínú,Ó ń tan ara rè je,Ó ń ṣòro fún ara rẹ̀,Ó ń ṣẹ ara rẹ̀ níbi
250,"Kíni ""Local Government"" ní Yorùbá?",Ìjọba ìbílẹ̀,,Ìjọba ìbílẹ̀,Ìjọba Àdúgbò,Ẹ̀ka Ìṣèjọba,Ẹ̀ka Ìṣàkóso,Ìgbìmọ̀ Ìṣàkóso
251,"Àrìngbèrè ni yó múú oyè délé; asárétété ò róyè jẹ.""
 Kíni ìtúmọ̀ òwe yìí?",Kí á máa sáré jù. Iṣẹ́ kọ́ lowó,,Ìjà kọ́ lowó,Ìtan kọ́ lowó,Ìyà kọ́ lowó,Òwò kọ́ lowó,Kí á máa sáré jù. Iṣẹ́ kọ́ lowó
252,"Àpà èèyàn ò mọ pé ohùn tó pọ̀ lé tán.""
 Kíni ìtúmọ̀ òwe yìí?","Kòsi bí owó ṣe pọ̀ tó, yíò tán lọ́jọ́kan",,Ìwọ̀fà èèyàn ò mọ pé owó tó pọ̀ lé tán,Ọ̀lẹ́ èèyàn ò mọ pé iṣẹ́ tó pọ̀ lé tán,"Kòsi bí owó ṣe pọ̀ tó, yíò tán lọ́jọ́kan",Òpònù èèyàn ò mọ pé ọ̀rọ̀ tó pọ̀ lé tán,Ìgbéraga èèyàn ò mọ pé iyìn tó pọ̀ lé tán
253,"Jọmíjọmí òkú ọ̀rọ̀ níí sọníí dà
 Kíni ìtúmọ̀ òwe yìí?",Ìkà ni ẹni tí ó fẹ́ kí gbogbo ènìyàn jọ òhun,,Ìwà burúkú tí a bá hù yoó mú ìbànújẹ́ wá,"Àṣírí tí ó bá pé jù, ó máa ń mú ìjà wá","Ìwàkíwà tí a bá hù, yoó mú ìyà wá",Ìkà ni ẹni tí ó fẹ́ kí gbogbo ènìyàn jọ òhun,"Ọ̀rọ̀ tí a bá sọ́ láìronú, yoó di ìjà"
254,"Ìwọ̀n ni ẹni tí ó gun ẹlédè ńyọ̀ mọ́; ẹni tí ó gun ẹsin pàápàá ilé ló ń bò.""
 Kíni ìtúmọ̀ òwe yìí?",Kí a máa ní ìgbéraga,,Kí a máa ní ìgbéraga,Kí a máa fi sùúrù gbé ìgbésí ayé,Kí a máa fi ọ̀wọ̀ bá àwọn ènìyàn lò,Kí a máa fi ìrẹ̀lẹ̀ ṣe ìwà rere,Kí a máa fi ìfọkànsìn ṣe iṣẹ́
255,"Kíni ""Palm"" ní Yorùbá?",Atẹlẹwọ́,,Ọ̀wọ́,Ìrọ̀rùn,Atẹlẹwọ́,Ẹ̀ka,Àṣẹ
256,"Kíni ""Ostrich"" ní Yorùbá?",Ògòǹgò,,Ẹ̀yẹ́ àgbàrà,Ògòǹgò,Àdàbà,Ẹ̀yẹ́ odò,Ẹ̀yẹ́ òkun
257,"Kíni ""Text Message"" ní Yorùbá?",Àtẹ̀jíṣé,,Àtẹ̀jíṣé,Lẹ́tà,Ìròhìn,Àwọn ọ̀rọ̀ kíkọ́,Ìránṣẹ́
258,"Kíni ""Video"" ní Yorùbá?",Fọ́rọ́n,,Ìfihàn,Ìtàn-ojú,Àwòrán,Fọ́rọ́n,Ìṣẹ̀lẹ̀-ojú
259,"Kíni ""Perform well"" ní Yorùbá?",Fakọyọ,,Ṣe eré dáadáa,Kọrin dáadáa,Kọ lẹ́tà dáadáa,Rìn dáadáa,Fakọyọ
260,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbo agboya""?",Gbọ́ ǹkan lódì,,Gbọ́ ǹkan lódì,Gbọ́ ìròyìn,Gbọ́ ìkéde ìbànújẹ́,Gbọ́ ìkìlọ̀,Gbọ́ ìdájọ́ òdì
261,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbe ayan mi""?",Lóyún,,Lóyún,Gbọ́ ǹkan lódì,Ṣe ọ̀ṣọ́,Ṣàárè,Ìbínú
262,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eti keta""?",Ará ìta,,Àṣírí igbó,Òkúta àbẹ́lẹ̀,Ará ìta,Ìlérí òkùnkùn,Àwòrán òfurufú
263,"Sàlàyé òwe yì:
 Wọ́n ní, ""Afọjú, o ò tanná alẹ́"" ó ní àtọ̀sán àtọ̀ru, èwo lóún rí níbẹ?",Kò mọ́pọlọ wá lati sọ fún afọ́jú pé kí ó taná yálà ní àárò tàbí lálẹ́,,"Àwá lè rò pé àfọ́jú mò ìtànná òrú, ṣùgbọn kò mò ìtànná ọ̀sán","Àwá lè rò pé àfọ́jú lè dáná, ṣùgbọ́n àṣìṣe ni","Àwá lè sọ fún àfọ́jú nípá ìmọ́lẹ̀, ṣùgbọn kò ní rí i","Àwá lè bèèrè lọ́wọ́ àfọ́jú nípá ìtànná, ṣùgbọ́n kò ní yé wa",Kò mọ́pọlọ wá lati sọ fún afọ́jú pé kí ó taná yálà ní àárò tàbí lálẹ́
264,"Sàlàyé òwe yì:
 Àjànàkú kúró l’ẹ́ràn à ń gọ̀ dé",Erin tóbi ju ẹranko tí a máa farapamọ́ fún,,Ẹkùn ńlá ju ẹran tí a máa sá fún,"Ẹfọ̀n ńlá ni a ń sá fún, kìí ṣe ekú",Ẹfọ̀n ńlá ju ẹran tí a máa fọwọ́ gbá lọ,Erin tóbi ju ẹranko tí a máa farapamọ́ fún,Ẹkùn ńlá ju ẹran tí a máa jẹ lọ
265,"Kíni ""Health"" ní Yorùbá?",Ìlera,,Ìṣẹ̀ṣe,Ìdùnnú,Ìlera,Àlááfíà,Ìgbádùn
266,"Kíni ""Knee"" ní Yorùbá?",Orókún,,Orókún,Ìdí,Àtẹ́lẹ́sẹ̀,Iṣan,Ọ̀pá
267,"Kíni ""Plate"" ní Yorùbá?",Abọ́,,Òkúta,Àpótí,Abọ́,Igi,Ilẹ̀
268,"Kíni ""Earring"" ní Yorùbá?",Yẹtí,,Ọ̀ṣọ́,Ìràwọ̀ etí,Ìlẹ̀kẹ̀,Yẹtí,Òdòdó
269,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Oba waja""",Ọba ti kú,,Ọba ti kú,Ọba ti sùn,Ọba ti lọ́,Ọba ti sọ̀rọ̀,Ọba ti dúró
270,"Kíni ""500"" ní Yorùbá?",Ẹ̀ẹ́dẹ́gbẹ̀ta,,Ẹ̀ẹ́dẹ́gbẹ̀wá,Ẹ̀ẹ́dẹ́gbẹ̀jọ,Ẹ̀ẹ́dẹ́gbẹ̀sàn,Ẹ̀ẹ́dẹ́gbẹ̀rin,Ẹ̀ẹ́dẹ́gbẹ̀ta
271,"Kíni ""Conspiracy"" ní Yorùbá?",Ọ̀tẹ̀,,Ọ̀tẹ̀,Ìdààmú,Èké,Àṣìṣe,Ìṣòro
272,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Te oju ile mole""",Ṣe ẹni tí ò ní gbẹ́bẹ̀,,Ṣe ẹni tí kò ní gbà àwọn àlejò,Ṣe ẹni tí kò ní gbà àwọn ènìyàn,Ṣe ẹni tí ò ní gbẹ́bẹ̀,Ṣe ẹni tí kò ní gbà àwọn ènìyàn mìíràn,Ṣe ẹni tí kò ní gbà ìrànlọ́wọ́
273,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fara kasa""",Farapa,,Gbẹ́ ilẹ̀ fún iṣẹ́,Ṣe àwàrí ìyẹ̀pẹ̀,Gbà ilẹ̀ lọ́wọ́ ẹni,Farapa,Sọ ilẹ̀ di mímọ́
274,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Firufona""",Wà nínú wàhálà,,Ìyípadà èrò,Wà nínú wàhálà,Ṣe àìsàn,Gbà èrò òdì,Rí àlá búburú
275,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ko oro je""",Fagilé ohun tí a sọ,,Gbà gbogbo ọ̀rọ̀,Rántí gbogbo ọ̀rọ̀,Sọ ọ̀rọ̀ náà jáde,Ṣe àyẹ̀wò ọ̀rọ̀,Fagilé ohun tí a sọ
276,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Lo se eyo"" (Ease one self)",Lọ tọ̀,,Lọ sùn,Lọ tọ̀,Lọ jó,Lọ kọrin,Lọ ṣiṣẹ́
277,Kíni Yorùbá n pè ní 'kùkùté'?,Ageku igi,,Ọ̀dọ̀ igi,Ìṣù igi,Ageku igi,Òkúta,Òjò
278,Fi àmí sí òrò yìí Oloopa,Ọlọ́ọ̀pá,,Ọlóòpà,Òlóòpà,Òlóòpá,Ọlọ́ọ̀pá,Òlòòpà
279,"Kíni ""Whirlwind"" ní Yorùbá?",Àjà,,Àjà,Àgbálùmọ́,Ẹ̀fúùfù,Òkú,Èéfín
280,Parí òwe yìí: 'Àígbọ́fá làá wòkè ...,Ifá kan ò sí ní párá,,ká lè rí ọ̀nà,ká má baà ṣubú,Ifá kan ò sí ní párá,ká lè mọ ibi tí a ń lọ,ká lè rí àwọn ẹranko
281,Fi àmí sí òrò yìí 'Lataarọ',Látàárọ̀,,Látaarò,Làtáárò,Látaarọ,Látàárọ̀,Lààtáro
282,Kíni Yorùbá ń pè 'catapult' or 'sling'?,Kànnàkánná,,Àgbélébù,Àgbékalẹ̀,Òkùnkùn,Àrùnkárùn,Kànnàkánná
283,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Na pápá bora""",Sálo,,Dúró,Múrá,Sọ̀rọ̀,Sálo,Rájà
284,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ìfétíléko""",Retí èsì tàbí ìdáhùn làti ibìkan,,Ìgbàgbọ́,Retí èsì tàbí ìdáhùn làti ibìkan,Àròyé àìlọ́gbọ́n,Ìwà àìníìdí,Ìṣe àìlérè
285,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Tanilolobo""",Sọ̀rọ̀ fún èèyàn ṣáájú ǹkan tó fẹ́ ṣẹlẹ̀,,Ọ̀rọ̀ tí a sọ láti fi ènìyàn ṣe yẹ̀yẹ́,Ìtàn àròsọ tí kò ní òtítọ́ nínú,Sọ̀rọ̀ fún èèyàn ṣáájú ǹkan tó fẹ́ ṣẹlẹ̀,Ìròyìn èké tí a gbọ́ láti ìta,Ọ̀rọ̀ tí a sọ láti fi ènìyàn ṣe ẹlẹ́yà
286,"Kíni ""Bear"" ní Yorùbá?",Ọ̀fàfà,,Ọ̀fàfà,Àgbò,Ìjímèrè,Àparò,Erin
287,"Kíni ""Camel"" ní Yorùbá?",Ràkúnmí,,Ọ̀fàfà,Àgbò,Ràkúnmí,Àparò,Erin
288,"Kíni ""Gorilla"" ní Yorùbá?",Ìnàkí,,Ẹranko ńlá,Ọ̀gá ńlá,Ẹ̀rankò òkùnkùn,Erin,Ìnàkí
289,"Kíni ""Hippopotamus"" ní Yorùbá?",Ẹrinmí,,Erìn,Àparò,Ẹṣin-omi,Màlúù-odò,Ẹrinmí
290,"Sọ ìtumọ̀ òwe yìí:
 Ènì tó torí òtútù fi ọ̀mòrí odó yáná kò gbọ́dọ̀ retí àti jẹ̀yàn","Kí ènìyàn máa ṣe ohun tóyẹ kó ṣe, kí ó sì máa retí èsì",,Ẹni tó torí ìbínú fi ọ̀mòrí odó yáná kò gbọ́dọ̀ retí àti rí àlàáfíà,Ẹni tó torí ìgbéraga fi ọ̀mòrí odó yáná kò gbọ́dọ̀ retí àti rí ìwà rere.,"Kí ènìyàn máa ṣe ohun tóyẹ kó ṣe, kí ó sì máa retí èsì",,Ẹni tó torí ìwà àìtọ́ fi ọ̀mòrí odó yáná kò gbọ́dọ̀ retí àti rí ìtẹ́wọ́gbà
291,"When the elders say:
 Dátóró dátóró dátóró, àgbà tí kò dátóró, omi ọbẹ̀ láámu.
 What does it mean?""",Àgbà tí kò ṣe ojúṣe kò ní rí owó tàbí ohun tó tọ si gbà,,"Àgbà tí kò ṣiṣẹ́, ebi á pa á","Àgbà tí kò rò, àwọn ọmọ á ṣe ẹlẹ́yà rẹ̀","Àgbà tí kò gbọ́n, ìyà á jẹ ẹ́.",Àgbà tí kò ṣe ojúṣe kò ní rí owó tàbí ohun tó tọ si gbà,"Àgbà tí kò wòran, òfò á ṣe é"
292,"Parí òwe yìí:
 Ìbínú kò ṣe nkan...",Sùúrù ni baba ìwà,,àyàfi ìrora ọkàn,Sùúrù ni baba ìwà,àyàfi ìjà àti ìforígbárí,ìfẹ́ ni ó ní agbára,ìdájọ́ ni ó máa tẹ̀lé
293,"Parí òwe yìí:
 ọmọ kò láyòlẹ..",,,àgbà ló ní ọgbọ́n,ìwà ló jẹ́ ènìyàn,ìwé ní ìmọ̀,ìṣẹ́ ló ń gbéni ga,ìfẹ́ ni ìbùkún
294,"Kíni ""Communication"" ní Yorùbá?",Ìbáraẹnisọ̀rọ̀,,Ìbáraẹnisọ̀rọ̀,Ìgbọ́ràn,Ìdánilẹ́kọ̀ọ́,Ìròyìn,Ìwádìí
295,Ṣàlàyé Orúkọ yìí: òkánlàwọ́n,Ọmọ obìnrin tàbí okùnrin tí a bí la àwọn ọmọ tókù ní ìdílé kan,,Ọmọ  tí ó ní ọ̀pọ̀lọ̀pọ̀ ènìyàn,Orúkọ fún ilé tí ó ní ọ̀pọ̀lọ̀pọ̀ àwọn ohun,ohun tí ó ní ọ̀pọ̀lọ̀pọ̀ ẹ̀ka,iye tí ó pọ̀ ju ọ̀kan lọ,Ọmọ obìnrin tàbí okùnrin tí a bí la àwọn ọmọ tókù ní ìdílé kan
296,"Kíni ""Addiction"" ní Yorùbá?",Bárakú,,Ìfẹ́kúfẹ̀ẹ́,Bárakú,Ìfẹ́júmọ́ra,Ìgbẹ́kẹ̀lẹ́,Àṣejù
297,Kíni 'formal letter' àti 'informal letter' ní Yorùbá,"Lẹ́tà Gbẹ̀fẹ́ - Informal
 Lẹ́tà Àìgbẹ̀fẹ́ - Formal",,"Lẹ́tà Ìrọ̀rùn - Informal
Lẹ́tà Ìlànà - Formal","Lẹ́tà Ọ̀rẹ́ - Informal
Lẹ́tà Àṣẹ - Formal","Lẹ́tà Gbẹ̀fẹ́ - Informal
Lẹ́tà Àìgbẹ̀fẹ́ - Formal","Lẹ́tà Ìgbádùn - Informal
Lẹ́tà Ìjẹ́pàtàkì - Formal","Lẹ́tà Ìṣọ̀kan - Informal
Lẹ́tà Àṣẹ́yọrí - Formal"
298,"Kíni ""Fiancee"" ní Yorùbá?",Àfẹ́sọ́nà,,Àbúrò-ọkọ,Ìyàwó-ọ̀dẹ́,Ìyàwó-ìlú,Àfẹ́sọ́nà,Ọ̀rẹ́-àgbà
299,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eja n bakan""",Látì fi mọ̀ bóyá ǹkan tí a lérò ló bọ́ sí tàbí ìdàkejì,,Látì fi mọ̀ bóyá ǹkan tí a lérò ló bọ́ sí tàbí ìdàkejì,Láti mọ̀ pé ǹkan tí a rà lè darà pọ̀ mó ǹkan mìíràn,Láti mọ̀ pé ó lè ṣeé ṣe láti pàárọ̀ ǹkan méjì,Láti mọ̀ pé ìmọ̀ kan lè mú àyè mìíràn wá,Láti mọ̀ pé àṣa kan lè yatò sí àṣa mìíràn
300,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ikalaya""",Ohun tó kọjá agbára,,Ohun tó léwu púpọ̀,Ohun tó kọjá agbára,Ohun tó nira gidigidi,Ohun tó rọrùn,Ohun tó burú jáì
301,"Kíni ""Ass"" ní Yorùbá?",Kẹ́tẹ́kẹ́tẹ́,,Kẹ́tẹ́kẹ́tẹ́,Ẹja,Àgbàdo,Ẹ̀gbọ̀n,Ilé
302,"Kíni ""Bat"" ní Yorùbá?",Àdán,,Ìgbín,Àgùntàn,Àdán,Ẹyẹ,Ẹja
303,"Parí òwe yìí.
 Eni yá ẹ̀gbẹ̀fà tí ò san",Ó ti gbẹ́gi dínà egbèje,,ìjà ló ń wa,ó di aláìnígbà,Ó ti gbẹ́gi dínà egbèje,òun àti ọ̀rẹ́ rẹ̀ ti yà,ilé ẹjọ́ ló máa lọ
304,"""Ọjọ wo, oṣù wo ni a dá Ìpínlẹ̀ Òndó.""","Ọjọ́ Kẹta, Oṣù Èrèlé (03/02)",,"Ọjọ́ Kẹta, Oṣù Èrèlé (03/02)","Ọjọ́ Kẹwàá, Oṣù Ògún (10/06)","Ọjọ́ Kejìlélógún, Oṣù Ẹ̀bìbì (22/08)","Ọjọ́ Kẹrinlá, Oṣù Ọ̀wẹ̀wẹ̀ (14/07)","Ọjọ́ Kẹtàlélógún, Oṣù Òkùdù (23/12)"
305,"Kíni ""Entrepreneurship"" ní Yorùbá?",Ìṣòwò,,Ìdàgbàsókè,Ìṣòwò,Ìṣètò Ìṣòwò,Ìgbésẹ̀ Ọ̀rọ̀ Ajé,Ìdásílẹ̀ Ọjà Tuntun
306,"Kíni ""Job Interview"" ní Yorùbá?",Ìfọ̀rọ̀wánilẹ́nuwò fún iṣẹ́,,Ìwádìí iṣẹ́,Ìbéèrè iṣẹ́,Ìfọ̀rọ̀wánilẹ́nuwò fún iṣẹ́,Àyẹ̀wò iṣẹ́,Ìdánwò iṣẹ́
307,"Kíni ""Screen"" ní Yorùbá?",Atẹ agbàwòrántàn,,Ẹ̀rọ-ìfihàn,Ìtàn-ojú,Ilé-àwòrán,Àwòrán-ìdánimọ̀,Atẹ agbàwòrántàn
308,"Kíni ""Insurance"" ní Yorùbá?",Adójútòfò,,Ìwé Ìṣọ́ra,Adójútòfò,Ààbọ̀ Ọrọ̀-Ajé,Ètò Ìpamọ́ Ìnáwó,Àdéhùn Ìtọ́jú Ọrọ̀
309,"""Parí òwe yìí.
 Igi gògóró má gún mí lójú...""",Àtòkèèrè làti lọ́,,nínú àlá mi,nígbà tí mo sùn,lórí òkè yìí,Àtòkèèrè làti lọ́,nígbà tí mo ń lọ
310,"Kíni ""Shares"" ní Yorùbá?",Ìpín okòwò,,Àwọn Ìpín,Ìpínlẹ́,Àwọn Ọwọ́,Ìpín okòwò,Ìdágbà
311,Ta ló kọ ewì “Ìṣẹ̀ l’ògún Ìṣẹ̀” àti ní ọdún wo?,J.F. Ọdúnjọ - 1950,,A.O. Ọlátúnjí - 1965,C.O. Ọ̀gúndélé - 1948,D.I. Ọ̀kẹ́yẹmí - 1980,J.F. Ọdúnjọ - 1950,F.K. Adébáyọ̀ - 1960
312,"Kíni ìtumọ̀ “The fall of Naira, the rise of entrepreneur” ní Yorùbá?","Ìṣúbù Nàírà, ìgbésókè àwọn oníṣòwò",,"Ìṣúbù Nàírà, ìgbésókè àwọn oníṣòwò","Ìṣubú Náírà, ìgbéga àwọn olùṣọ́ àgùntàn","Ìdàgbà Náírà, ìdàgbà àwọn akọrin","Ìrẹ̀lẹ̀ Náírà, ìgbéga àwọn alásọ","Ìdínkù Náírà, ìdàgbà àwọn apẹja"
