S/N,Question,Answer,,option_1,option_2,option_3,option_4,option_5
415,"Parí òwe Yorùbá yìí
 ògèdè dúdú kò sè bùṣọn…",Ọmọ burúkú ò ṣe lù pa,,.ó ti pọ́n gan-an n,ṣùgbọ́n ó dùn jẹ,Ọmọ burúkú ò ṣe lù pa,a lè fi ṣe oúnjẹ míì,.kí a gbé e fún ọmọdé
416,"Parí òwe Yorùbá yìí
 Enu ai menu, ete ai mete...",níí mú ọ̀ràn bá ẹ̀rẹ̀kẹ́,,.kò le sọ̀rọ̀ dáadáa,ó ń fi wá oúnjẹ,ṣùgbọ́n olóhùn ní í lò ó,níí mú ọ̀ràn bá ẹ̀rẹ̀kẹ́,ni Yorùbá fi ń gbọ́n
417,"Kini ọ̀rọ̀ Yorùbá fun ""Comb"" tí ó wà lórí akùkọ adìyẹ",Igbe,,Igbe,Ìmú,Ìyẹ́,Gaga,Ojú
418,"Kíni ""Certificate"" ní Yorùbá?",Ìwé ẹ̀rí,,Ìwé,Ìwé ẹ̀rí,Ìwé ìròyìn,Àkọsílẹ̀,Ìwé ìdánwò
419,"Kíni ""web"" ní Yorùbá?",Ìtàkùn,,Okùn,Ojú,Ìtàkùn,Ìkànnì ayélujára,Gbòǹgbò igi
420,Yàtọ̀ sí ayékòótò kíni Yorùbá tún má ń pe 'parrot'?,Odídẹrẹ́,,Àparò,Odídẹrẹ́,Òkín,Àkàlàmàgbò,Adìẹ
421,"Kíni ""ditch"" ní Yorùbá?",Kòtò,,Omi,Ilẹ̀,Òkè,Kòtò,Pẹ̀tẹ́lẹ̀
422,Tani ọba àkọ́kọ́ tí a kọ́kọ́ kì ní kábíyèsí ní ilè Yorùbá,Aláàfin Sàngó,,Odùduwà,Aláàfin Sàngó,Ọ̀rànmíyàn,Oòni ti Ilé-Ifẹ̀,Alákétu ti Kétu
423,Àwọn wo ni Yorùbá ń pè ní 'màjẹsín,Àwọn ọmọdé,,Àwọn obìnrin,Àwọn ọlọ́rọ̀,Àwọn ọkùnrin,Àwọn àgbàlagbà,Àwọn ọmọdé
424,"Kíni ""South-West"" ní Yorùbá?",Gúúsù-Ìwọ-oòrùn,,Gúúsù,Gúúsù-Ìwọ-oòrùn,Ìlà-oòrùn,Àríwá,Ìwọ̀-oòrùn
425,Kíni Yorùbá ń pe 'flamingo'?,Ẹyẹ-omi,,Ẹyẹ-omi,Adìẹ,Ẹyẹlé,Odídẹrẹ́,Àṣá
426,Kíni Yorùbá ń pe 'squat'?,Jóòkó,,Jóòkó,Rìn,Jóòkó,Fò,Sùn
427,"Parí òwe Yorùbá yìí
 Ajogún Ifá tó ní òun kò ní kú mọ …",Ẹni tó tefá gan dàà,,Ifá á gbè é,.kí ló máa ṣe?,Ẹni tó tefá gan dàà,baba rẹ̀ ti kú,ó ti di babaláwo
428,"Kíni ""North"" ní Yorùbá?",Àríwá,,Gúúsù,Gúúsù-Ìwọ-oòrùn,Ìlà-oòrùn,Àríwá,Ìwọ̀-oòrùn
429,Tí Yorùbá bání ẹ̀ẹ̀yàn 'pẹ̀ ọ̀rọ̀ sọ'. Kí ló tún mò sí?,Kòfẹ́ fi gbogbo ẹnu sọ̀rọ̀,,Ó ń sọ̀rọ̀ púpọ̀,Ó ń pariwo,Ó ń kùn,Kòfẹ́ fi gbogbo ẹnu sọ̀rọ̀,Ó ń fi ọ̀rọ̀ ṣeré
430,"Kíni ""Education Manager"" ní Yorùbá?",Ìṣàkóso Ẹ̀kọ́,,Olùkọ́,Ìṣàkóso Ẹ̀kọ́,Akẹ́kọ̀ọ́,Olórí ilé-ìwé,Oníṣẹ́ ọ̀gbà
431,"Kíni ""Guinea worm"" ní Yorùbá?",Sòbìà,,Sòbìà,Kòkòrò,Ìdin,Eṣinṣin,Oyin
̀432,Àwọn wo ni Yorùbá ń pè ní 'ọjẹ',Eléégún,,Adáhunṣe,Babaláwo,Eléégún,Oníṣègùn,Wòlíì
433,"Parí òwe Yorùbá yìí
 Òṣùpá là a ní kò gún...","Ẹni tọ́wọ́ ẹ̀ bá to, kó lo tun ṣe",,ṣùgbọ́n ó ń tan ìmọ́lẹ̀,ìràwọ̀ ló gún jù,oòrùn ti wọ̀,"Ẹni tọ́wọ́ ẹ̀ bá to, kó lo tun ṣe",ó yàtọ̀ sí oòrùn
434,Ìlú wo ni wón ti ń bí 'Ìbejì' jùlọ ní ilè Yorùbá,Igbó-ọrà,,Ilé-Ifẹ̀,Ọ̀yọ́,Ìbàdàn,Igbó-ọrà,Abẹ́òkúta
435,"Kíni ""Relationship"" ní Yorùbá?",Ìbáṣepọ̀,,Ìfẹ́,Ìbáṣepọ̀,Ìgbéyàwó,Ọ̀rẹ́,Aládùúgbò
436,"Kíni ""Pretence"" ní Yorùbá?",Ìdíbọ́n,,Irọ́ pípa,Ìwà ọ̀dàlẹ̀,Ìdíbọ́n,Èké,Ojúkòkòrò
437,"""Kínì ìtumọ̀ àkànlò-èdè yìí? 
 Te nkan nidi""",Lílo ọgbọ́n àlùmọ̀kọ́rọ́yí láti fi kó ọrọ̀ jọ,,Fi nǹkan pamọ́,Lílo ọgbọ́n àlùmọ̀kọ́rọ́yí láti fi kó ọrọ̀ jọ,Gbé nǹkan kalẹ̀,Fọ́ nǹkan túútúú,Tà nǹkan kan
438,"""Kíni àkọ́lé orúkọ ọba Ijesha?""",Ọwá,,Aláàfin,Olúbàdàn,Aláké,Awùjalẹ̀,Ọwá
439,"Parí òwe Yorùbá yìí
 Àjánàkú kọjáa mo rí nkan firí",Tí a bá rérin ká sọpé a rérin,,Tí a bá rérin ká sọpé a rérin,.ọmọdé sá pa lọ́,agbára rẹ̀ pọ̀ jù,ó ba igi jẹ́,àwọn ọdẹ bẹ̀rù
440,"Kíni ""Debate"" ní Yorùbá?",Ìtàkùọ̀rọ̀so,,Ìjíròrò,Ìfọ̀rọ̀wérọ̀,Ìtàkùọ̀rọ̀so,Àríyànjiyàn,Ìjà
441,Kíni ìyàtọ̀ láàrin ìtòsí ati ìjọsí?,"Ìtòsí -–Súnmọ́
 Ìjọ́sí -–Jìnà",,Kò sí ìyàtọ̀,"Ìtòsí -–Súnmọ́
Ìjọ́sí -–Jìnà","Ìtòsí -–òtútù
Ìjọ́sí -–ooru ","Ìtòsí -–omi
Ìjọ́sí -–ilẹ̀ ","Ìtòsí -–òkè
Ìjọ́sí -–ìsàlẹ̀ "
442,Kíni ìyàtọ̀ láàárín ìpààrọ̀ àti ìyípadà?,"Ìpààrọ̀ - Replace
 Yípadà - Change",,"Ìpààrọ̀ - dídúró
Yípadà - jíjókòó ","Ìpààrọ̀ - Replace
Yípadà - Change","Ìpààrọ̀ - ìbẹ̀rẹ̀
Yípadà - òpin","Ìpààrọ̀ - rírìn
Yípadà - òpin","Ìpààrọ̀ - nǹkan tó dára
Yípadà - nǹkan tó burú"
443,"Kíni ""Protest"" ní Yorùbá?",Ìfẹ́ónúhàn,,Ìwọ́de,Ìsìnkú,Ìgbéyàwó,Ìdùpẹ́,Ìṣọ̀kan
444,"Kíni ""National Assembly"" ní Yorùbá?",Ìgbìmọ̀ aṣòfin àgbà,,Ilé ìjọba,Ìgbìmọ̀ aṣòfin àgbà,Ààfin ọba,Ilé ìwé,Ilé ìwòsàn
445,"Kíni ""Canopy"" ní Yorùbá?",Àtíbàbà,,Òrùlé,Fèrèsé,Ògiri,Àgọ́,Àtíbàbà
446,Àwọn ọmọ wo ni Yorùbá ń pè ní 'Kòsọkọ' àti pé kíni ìdí tí a fi ń pè wọn bẹ?,"Àbíkú ọmọ ni wọ́n ń pè ní Kòsọ́kọ́
 A máa ń pe wọ́n bẹ́ẹ̀ nítorípé ọkọ́ ni a máa fi ń wa ilẹ̀ látìi fi sin òkú",,Ìbejì nítorí wọ́n jẹ́ méjì,"Àbíkú ọmọ ni wọ́n ń pè ní Kòsọ́kọ́
A máa ń pe wọ́n bẹ́ẹ̀ nítorípé ọkọ́ ni a máa fi ń wa ilẹ̀ látìi fi sin òkú",Àbúrò nítorí ó kéré,Àkọ́bí nítorí ó kọ́kọ́ jáde,Ìdòwú nítorí ó tẹ̀lé ìbejì
447,Tí Yorùbá bá sọpé Igi imú jìná sórí... kíni wọn ń gbìyànjú láti sọ pẹ̀lú àpẹrẹ,Kí ènìyàn kan ju ẹnìkéjì lọ,,Orí tóbi ju imú lọ,Igi gùn gan-an,Kí ènìyàn kan ju ẹnìkéjì lọ,Imú wà lórí,Nǹkan kò rọrùn
448,"Kíni Yorùbá ń pè ní mọ̀gúdú?""",Ìkokò tó tóbi (A big wolf),,Ìkòkò kékeré,Apẹ,Ìkokò tó tóbi ,Kòlòbó,Oúnjẹ
449,"Parí òwe Yorùbá yìí ""bí èbù ò rà...""",A ò lè rí ègbodò,,.iyán ò ní dùn,A ò lè rí ègbodò,kí á wá omi mu,a ó jẹ ẹ́ bẹ́ẹ̀,ó ti gbó jù
450,"Parí òwe Yorùbá yìí
 Bí abá sọrọ tán ẹrín làá rín...","bí a bá yó tán, orun níí kun ni",,"bí a bá yó tán, orun níí kun ni",kí á tó lọ ilé,.bí ọ̀rọ̀ bá dùn mọ́ni,ká má fì í bú ọba,.àwàdà ló pọ̀ níbẹ̀
451,"Yàtọ sí ádùrá kíni Yorùbá n
 pè ádùrá àti àmín""?","Àdúrà -–Ìwúre
Àmín -–Àṣẹ",,"Àdúrà -–Ìwúre
Àmín -–Àṣẹ","Àdúrà -–Orin 
Àmín -–Àṣà","Àdúrà -–Ọ̀rọ̀
Àmín -–Èsì","Àdúrà -–Ìjúbà 
Àmín -–Gbólóhùn","Àdúrà -–Ohùn 
Àmín -–Fiífi"
452,"Kíni ""North-East"" ní Yorùbá?",Àrìwá-Ìlà-oòrùn,,Gúúsù-Ìwọ̀-oòrùn,Àrìwá-Ìlà-oòrùn,Apá Òsì,Iwájú,Ìsàlẹ̀
453,Kíni àkólé orúkọ ọba ìlú Ijebu-Igbo?,Orímolúsì,,Ọọ̀ni,Orímolúsì,Aláàfin,Awùjalẹ̀,Olúbàdàn
454,"Kíni ""Train station"" ní Yorùbá?",Ibùdó ọkọ̀ ojú irin,,Ojú irin,Pápá ọkọ̀ òfurufú,Ibùdó ọkọ̀ ojú irin,Ibùdókọ̀ ọkọ̀ ojú omi,Gàrájì ọkọ̀ akérò
455,"Kíni ""Barn"" ní Yorùbá?",Aká,,Ilé,Aká,Àgọ́,Ilé ẹran,Ilé ìṣúra
456,Ìlú wo ni ile yorùbá ni wón ti sę odún ojude oba,Ìjẹ̀bú-òde,,Ilé-Ifẹ̀,Abéòkuta,Ìjẹ̀bú-òde,Òṣogbo,Adó-Èkìtì
457,"Kíni ""Genuine"" ní Yorùbá?",Ojúlówó,,Èké,Ayédèrú,Ojúlówó,Àdàpọ̀,Àfojúdi
458,Kíni Yorùbá n pè “Àrokò”,Ọ̀nà tí a fi ń bára wa sọ̀rọ̀ tí a kòsì fẹ́ kí ó yé ẹnikẹta,,Sísọ̀rọ̀ ní gbangba,Ìwé kíkà,Ìfọ̀rọ̀wérọ̀ lórí èrọ,Ọ̀nà tí a fi ń bára wa sọ̀rọ̀ tí a kòsì fẹ́ kí ó yé ẹnikẹta,Ìpolówó ọjà
459,"Kíni ""Wood Pecker"" ní Yorùbá?",ẹyẹ akoko,,Àwòdì,Ẹyẹlé,Àkàlàmàgbò,Àṣá,ẹyẹ akoko
460,"Kíni ""Brag"" ní Yorùbá?",Fọ́nnu,,Wíwọ́,Fọ́nnu,Sunkún,Rẹ́rìn-ín,Kígbe
461,Parí òwe yìí: A fàtelewo fanná,kìí dáwó dúró,,kò le è pẹ́ tó igi ìdáná,gbogbo ara ló ń jó ni,kìí dáwó dúró,ìyá ọmọ á bínú,afẹ́fẹ́ á gbà á lọ
462,"Kíni ""Teak tree"" ní Yorùbá?",Igi Ìrókò,,Igi Àràbà,Igi Akòko,Igi Ọ̀pẹ,Igi Ìrókò,Igi Ayùnré
463,Kini èjè rùn kanra túmò si?,A máa ń lòó ọ̀rọ̀ yí bí a bá ṣe pàdé ará ilé ẹni láìròtẹ́lẹ̀,,Ìjà pọ̀ láàrín ìdílé,Orí búburú nínú ẹbí,Ẹni tí ó jẹ́ ọ̀tá ilé ẹni,A máa ń lòó ọ̀rọ̀ yí bí a bá ṣe pàdé ará ilé ẹni láìròtẹ́lẹ̀,
464,"Kíni ""Desolate"" ní Yorùbá?",Ahóró,,Kún fọ́fọ́,Aláràbarà,Ahóró,Dídán,Olókìkí
465,"Kíni ""Sparrow"" ní Yorùbá?",alápàándèdè,,Ọ̀kín,alápàándèdè,Àṣá,Òwìwí,Lékeléke
466,Kíni iyato láàárín ẹgbẹ̀ta àti ẹgbàta?,"ẹgbẹ̀ta - 600 
 ẹgbàta - 6000",,"ẹgbẹ̀ta - 60, 
ẹgbàta - 600","ẹgbẹ̀ta - 600 
ẹgbàta - 6000","ẹgbẹ̀ta - 6000
ẹgbàta - 600","ẹgbẹ̀ta - 500
ẹgbàta - 5000","ẹgbẹ̀ta - 300
ẹgbàta - 3000"
467,"Parí òwe yìí...
 Akìí gbé ẹran erin lóri...?",Kí a máa fi ẹsẹ̀ wa ihò ìrẹ̀(cricket),,Kí á máa rebi ọdẹ ẹkùn,Kí á máa ké lé aja,Kí á máa sọ̀rọ̀ lẹ́yìn ọba,Kí a máa fi ẹsẹ̀ wa ihò ìrẹ̀(cricket),Kí á máa wá ìjà àjànàkú
468,Irú ọmọ wo ni wón ń pè ní Ìdògbé?,Ọmọ tí a bí lẹ́hìn Àlàbá,,Ọmọ tí a bí ṣáájú ìbejì,Ọmọ tí a bí lẹ́hìn Àlàbá,bejì àkọ́kọ́,Ọmọ tí ìyá bí gbẹ̀yìn,Abíkú ọmọ
469,"Kíni ""Creeper"" ní Yorùbá?",Àfòmọ́,,Kóríko,Ìràwé,Èso,Àfòmọ́,Gbòǹgbò
470,"Kíni àwon orọ wọnyí ""belching or burping"" tun mò sí ní Yorùbá",Gùnfẹ̀,,Ìrora inú,Mími hẹẹ́,Gùnfẹ̀,Òsúkè,Sísín
471,"Àwọn wo ni wón ma n ""sun ijálá""",Àwọn ọlọ́de,,Àwọn ọlọ́de,Àwọn onílù,Àwọn ọba,Àwọn babaláwo,Àwọn oníṣègùn
472,"Kíni ""Hiccups"" ní Yorùbá?",Òsúkè,,Orí fífọ́,Mími gbùùrù,Àárẹ̀,Òsúkè,Gùnfẹ̀
473,"Kíni ""Cobweb"" ní Yorùbá?",Ówú alántakùn,,Owú ìránṣọ,Ìtàkùn igi,Àwọ̀n ejò,Ilé ẹyẹ,Ówú alántakùn
474,"Kíni ọrọ yí túmosí ""takété""",Kí ènìyàn dúró sí ọ̀nà tó jìn,,Kí ènìyàn jókòó síbi kan,Kí ènìyàn dúró sí ọ̀nà tó jìn,Kí ènìyàn tẹ́tí sílẹ̀,Kí ènìyàn dákẹ́,Kí ènìyàn ṣubú
475,"Kíni ""Striike"" ní Yorùbá?",ìyanşélódì,,Jíjá,ìyanşélódì,Fìtínà,Pípèjọ,Ìdájọ́
476,Kíni màjàlà tún mọ sí ?,Oun tí ó máa ń bá iná jíjó lọ sókè (burnt flakes),,Èéfín,Oun tí ó máa ń bá iná jíjó lọ sókè,Àpáàdì iná,Eérú,Ìtànsan iná
477,"Kíni ""width"" ní Yorùbá?",ìbú,,Gígùn,ìbú,Gíga,Ìpín,Òṣùwọ̀n
478,"Kíni Yorùbá ""height"" àti ""length""?",Gíga àti Gígùn,,Ìbú àti Gíga,Gíga àti Gígùn,Fífẹ̀ àti Ìkún,Òkè àti Ìsàlẹ̀,Iwájú àti Ẹ̀yìn
479,"Tani ó kọ ìwé yìí ""ogboju odẹ nínú igbó irúnmolè""?",Daniel Ọlọ́runfẹ́mi Fágúnwà,,Hubert Ogunde,Wọlé Sóyínká,Olú Owólabí,Daniel Ọlọ́runfẹ́mi Fágúnwà,Túndé Kèlání
480,"Kíni ""Wood Carver"" ní Yorùbá?",Agbẹ́gilére,,Alágbẹ̀dẹ,Agbẹ́gilére,Aránṣọ,Onídìrí,Ọlọ́dẹ
481,"Kíni ""Bone Marrow"" ní Yorùbá?",Mùdùnmúdùn,,Ẹ̀jẹ̀,Eegun,Ọkàn,Èdọ̀,Mùdùnmúdùn
482,Parí òwe yìí: ajá kìí rorò títí,Kí ó ṣọ́ ojúlé méjì papọ̀,,Kí ó bí ọmọ lóríṣìí méjì,Kí ó gbàgbé olówó rẹ̀,Kí ó má jẹ tútù,Kí ó má jẹ ìgbẹ́,Kí ó ṣọ́ ojúlé méjì papọ̀
483,"Yato sí pàsán, àtòrì àti ẹgba kí tún ní orúkọ tí Yorùbá n pè ""cane""?",Ọrẹ́,,Igi,Ọrẹ́,Ọ̀pá,Gbọ̀ngàn,Irin
484,"Parí òwe yìí: ẹgbẹrin òtẹ,...",..bí a ṣe ń pakan nìkán rúwẹ́,,bàbà ìbàjẹ́ ló máa gbẹ̀yìn,"bí a kò bá rí ni, a ó ṣe é",..bí a ṣe ń pakan nìkán rúwẹ́,òwe ni wọ́n fi ń parọ́ rẹ̀,ológun ni yóò gbẹ́yìn wọn
485,"Kíni ""Launching"" ní Yorùbá?",Ìfilọ́lẹ̀,,Ìgbésókè,Ìfilọ́lẹ̀,Ìṣípayá,Ìparí,Ìràpadà
486,Àwọn agbá bò wọ́n ní 'adìyẹ ìrànà kì í ṣe òun ajẹgbẹ' ...kíni Adìyẹ ìrànà?,Adìyẹ tí à ń pa fún òkú,,Adìyẹ tí à ń pa fún òkú,Adìyẹ ẹbọ,Adìyẹ tó ń ṣọ́nà,Àkùkọ gàgàrà,Adìyẹ tí ó sọnù
487,Ṣe àtúnṣe àti àtúnpà òwe Yorùbá yìí 'oyè tó kan ará ìwó ń bọ́ wá kan ará ẹ̀dẹ',Oyè tó kan ará Aho ń bọ́ wá kan ará ẹ̀dẹ,,Oyè tó kan ará Èkìtì ń bọ́ wá kan ará Òǹdó,Oyè tó kan ará Ọ̀yọ́ ń bọ́ wá kan ará Ìbàdàn,Oyè tó kan ará Aho ń bọ́ wá kan ará ẹ̀dẹ,Kò ní àtúnṣe kankan,Oyè kìí kọjá láti ìlú kan sí òmíràn
488,Àwọn wo ni Yorùbá ḿ pè ní 'òrùn ẹní' àti pé kíni ìdí tí wọ́n fi ń pè wọ́n bẹ?,Òbí ẹni,,Àwọn ọ̀rẹ́ tímọ́tímọ́,Àwọn ọ̀tá,Òbí ẹni,Àwọn ọmọ,Àwọn alàgbà ìlú
489,Kíni ìtumọ̀ òwe yìí 'alágbára má mọ èrò baba ọ̀lẹ?',Ẹnití ó bá pe ara rẹ̀ ní alágbára gbúdò máa ṣe ìwáàdí láti mọ èrò nígbogbo ìgbà,,Ènìyàn gbọdọ̀ ní sùúrù bí ó ti wù kí ó lágbára tó,Alágbára tó bá ọlẹ jà yóò pàdánù,Alágbára ní láti máa gbọ́ràn sí ọ̀lẹ lẹ́nu,Ẹnití ó bá pe ara rẹ̀ ní alágbára gbúdò máa ṣe ìwáàdí láti mọ èrò nígbogbo ìgbà,Kò sí ìyàtọ̀ láàárín alágbára àti ọ̀lẹ
490,Parí òwe yìí: Ẹni tí ẹgún bá gúnlẹ̀sẹ̀?,Ni ń sá làkàlàkà relé alábẹ,,Kí ó wo bàtà ọba,Ni ń sá làkàlàkà relé alábẹ,Kì í dúró sí ibi kan,Á máa ké ramúramù,Kò lè gun òkè àjà
491,Parí òwe yìí: Sàn-án lààrín...,...ajé ní múni pẹ́ kọ̀rọ̀,,ilé ni múni mọ àgbà,ọmọdé ni múni dàgbà,ọ̀tá ni múni ṣọ́ra,ajé ní múni pẹ́ kọ̀rọ̀,ogójì ni múni kó ọrọ̀ jọ
492,"Parí òwe Yorùbá yìí:
 'Ẹ gún ẹṣin ní kẹṣẹ, ẹ lọ ńtàpá' ...............?","Ẹgún ẹṣin ní kẹṣẹ ẹ ní ó ń tàpá, baba ta ló ma ti rin bọ̀ láyà tí ò ní tākítì",,Bí ó bá ṣubú ǹkọ́?,Ṣé kò ní jẹ koríko mọ́?,Àgùntàn ní ń ṣe bẹ́ẹ̀,"Ẹgún ẹṣin ní kẹṣẹ ẹ ní ó ń tàpá, baba ta ló ma ti rin bọ̀ láyà tí ò ní tākítì",Kí ló dé tí ẹ kò lọ ran án?
493,"Fi ọ̀rọ̀ tó bá yé sí àlàfo yìí
 'Ọ̀pọ̀ igi ní bẹ̀ nìgbó ká tó fi .... gbẹ́ gbẹ̀du?",igi ọ̀mọ̀,,ọwọ́,igi ọ̀mọ̀,ọgbọ́n,agbára,èso
494,Kíni Yorùbá n pè ní àpáádì?,àfọ́kù ìkòkò,,Ìkòkò odidi,Jìgì,Garawa,àfọ́kù ìkòkò,Agbada
495,Irú ọbẹ wo ni Yorùbá n pè ní ọbẹ àtẹ?,Ọbè tí a kò fi iyọ̀ sí,,Ọbè tí a kò fi iyọ̀ sí,Ọbẹ̀ tí ó kún fún epo,Ọbẹ̀ tí ó kan,Ọbẹ̀ tí ó dùn jùlọ,Ọbẹ̀ aládùn
496,"Parí òwe Yorùbá yìí
 'À pa àímú délé......?",Ni ò jẹ́ kamọ̀ pé ológbò ń ṣe ọdẹ,,ló mú kí ebi pa ìyá ọmọ,ni kò jẹ́ ká mọ iye eran inú igbó,ni kò jẹ́ kí ọlọ́dẹ níyì,Ni ò jẹ́ kamọ̀ pé ológbò ń ṣe ọdẹ,ló sọ ajá di ọ̀lẹ
497,"Parí òwe yìí:
 'Àtìrà ibọn kò tó àtìrà ẹtù.......?'","Nítorí ojókan làá ra ìbọn, ojoójúmọ́ làá ra ẹ̀tù",,nítorí ẹtù lówó lórí ju ìbọn lọ,nítorí kì í ṣe ọjọ́ kan làá lo ìbọn,nítorí ìbọn kìí jẹ́ kómó ẹtù,nítorí ẹtù ló lágbára jù,"Nítorí ojókan làá ra ìbọn, ojoójúmọ́ làá ra ẹ̀tù"
498,"Kíni ""Red river hog"" ní Yorùbá?",Túùpú,,Túùpú,Èsúrú,Ògòǹgò,Kìnnìún,Ọ̀yà
499,"Kíni ""personification"" ní Yorùbá?",Ìfohunpènìyàn,,Ìkọ̀wé,Àfiwé,Òwe pípa,Ìsọ̀rọ̀gbèsì,Àlàyé
500,"Kíni ""gourd"" ní Yorùbá?",àdó,,àdó,Akèrègbè,Àgbè,Ègúsí,Igbá
501,"Kíni ""Animal Shell"" ní Yorùbá?",Ìkarahun,,Egungun ẹran,Awọ ẹran,Ìkarahun,Irun ẹran,Ìpẹ́ ẹran
502,"Kíni ""Nettle rash"" ní Yorùbá?",Inárun,,Kúrúnà,Èélá,Inárun,Làpálàpá,Ìhúnra
503,"Nínú ayò (ọpọ́n)
 ihò mééló ní ó wà nínú àpótí ayò ọpọ́n.....?",Méjìlá(12),,Mẹ́fà,Mẹ́jọ,Mẹ́wàá,Méjìlá,Ogún
504,"Kíni ""Lightning"" ní Yorùbá?",Mọ̀nàmọ́ná,,Àrá,Òjò,Òkùnkùn,Mọ̀nàmọ́ná,Òfúrufú